iteration,xi_bootstrap
1,0.7794658197707205
2,0.7756964307960921
3,0.7807724273994254
4,0.7750354686081147
5,0.7788817237486017
6,0.7734618226707088
7,0.7739286925751447
8,0.7808238019639151
9,0.7778680946539702
10,0.7780094759665761
11,0.7787383170798269
12,0.7749100195457206
13,0.7805016483205318
14,0.7764592046689932
15,0.7756012893065157
16,0.7793590945688034
17,0.7779751403434363
18,0.7815528140104011
19,0.7736847149823773
20,0.7801944536611416
21,0.776595666392999
22,0.7754026000843512
23,0.7805088287851996
24,0.779357447135516
25,0.7809153808662279
26,0.7859533504886533
27,0.7807390508890706
28,0.6392248707762871
29,0.7802531965062642
30,0.780563251626021
31,0.7762323952687296
32,0.7742671471621316
33,0.7772764550387047
34,0.7814127885555406
35,0.7777899748326567
36,0.7820392839672663
37,0.7773162980463912
38,0.7752394265066092
39,0.7802599073668204
40,0.7778066025062802
41,0.7754052190649703
42,0.7748530698170353
43,0.7751640429401587
44,0.7749945160721599
45,0.7749781046780889
46,0.7744089612738951
47,0.7756514675060602
48,0.7785659702626992
49,0.7759864348210612
50,0.7763831082969139
51,0.7729203564473788
52,0.7759329605643496
53,0.7755437726226241
54,0.7774409801813564
55,0.780191495823533
56,0.7798804984900558
57,0.7787917419926701
58,0.7768432603928043
59,0.7754121492529481
60,0.7762634546517311
61,0.780437401348189
62,0.7743574253561947
63,0.7777109079080575
64,0.7772729843070267
65,0.7814582824986416
66,0.7753999244112244
67,0.7760287667402355
68,0.7801196910850365
69,0.7792014125417934
70,0.7830522915145215
71,0.7788393292290778
72,0.7748964090987869
73,0.778300816782318
74,0.7776025291245581
75,0.7825071625269994
76,0.773114605094867
77,0.7794262228676043
78,0.7801636871547148
79,0.7749254147084175
80,0.7749127150785581
81,0.7771901572737248
82,0.7790052452608324
83,0.773839078011872
84,0.7783289700657232
85,0.7743327800715396
86,0.7780840952489589
87,0.7796278233669047
88,0.7809456608715581
89,0.7784092693302307
90,0.7747622317857075
91,0.7785548672956027
92,0.777008089859136
93,0.776088884857443
94,0.7794931206659013
95,0.7740028127534861
96,0.7825187327819516
97,0.7826733786870188
98,0.7748468731555518
99,0.7816800888735421
100,0.7801721355453863
101,0.7748018914876713
102,0.7741871130538076
103,0.777226709732028
104,0.7816775110010379
105,0.7748904749507681
106,0.7804454444444267
107,0.7807942120756932
108,0.6392238346774917
109,0.7738430070537359
110,0.7754291772475536
111,0.776964314603056
112,0.7762135161899377
113,0.7807087116088969
114,0.7765315254714253
115,0.7795797345686915
116,0.7746704014650956
117,0.7743360854369554
118,0.7781610036908557
119,0.7807185438908097
120,0.7754874768925535
121,0.7771473512054622
122,0.781772307188397
123,0.7797153122498423
124,0.7742050111624543
125,0.7787105747859118
126,0.7740771863489626
127,0.7785009385460397
128,0.7824601353256222
129,0.7769821244756909
130,0.7745612424575354
131,0.7820743541448144
132,0.7797756774174427
133,0.7758688740740161
134,0.7809743520665309
135,0.777737017012049
136,0.7747124050471708
137,0.7760360821787371
138,0.7794461256544988
139,0.778406141283922
140,0.7768048137236607
141,0.7748058974265277
142,0.7753469715537458
143,0.7761780480508076
144,0.7799067381988527
145,0.7782820179617956
146,0.7743890698174055
147,0.7778519267370407
148,0.7747593923554266
149,0.7779712293998866
150,0.7791716725503788
151,0.7701768632320845
152,0.7737034870603036
153,0.7760928077929234
154,0.782562741411285
155,0.7799510550927437
156,0.7795600417484572
157,-0.329836349225332
158,0.7783038786385654
159,0.775537284087175
160,0.7807020278150691
161,0.7788196662762619
162,0.7801397426813661
163,0.7803257881927723
164,0.7753353980451523
165,0.7751595369544256
166,0.7792295270821961
167,0.6323225514193394
168,0.7755946107489047
169,0.7762669396602238
170,0.7812202920875002
171,0.7766181833825303
172,0.7737698620013789
173,0.7766505689903053
174,0.7817239930821757
175,0.7824636736615409
176,0.7768581476137598
177,0.7783272895627787
178,0.7778460015328759
179,0.7772299298951478
180,0.7747751493192392
181,0.7750573673859364
182,0.7748554317380758
183,0.7799910931392686
184,0.7752951850527434
185,0.7749421534490086
186,0.7802286902958422
187,0.775046105497976
188,0.7819112432813854
189,0.7770956983031152
190,0.7825720332331907
191,0.7823263746602759
192,0.7762643408205736
193,0.7740624346882115
194,0.7761248711203677
195,0.7742351897562364
196,0.7797698196379912
197,0.779568913396048
198,0.7740077179880933
199,0.7743152790138963
200,0.7790231054404813
201,0.7737087014926705
202,0.7789301032483288
203,0.7764134843382651
204,0.7785185066725142
205,0.776252052484768
206,0.77472225386797
207,0.7776958762090569
208,0.7809361323768363
209,0.7790153783569369
210,0.7762450726902972
211,0.7742670602500057
212,0.7796800382359718
213,0.7745696065035301
214,0.7762053391220252
215,0.7772034252852562
216,0.7724284594548465
217,0.7776606118000082
218,0.7790988127283507
219,0.7819920182767593
220,0.782616751050975
221,0.7791456925954535
222,0.7765485415984272
223,0.7757443902615317
224,0.7768447044537568
225,0.7773202113625169
226,0.7745576196541955
227,0.7823471230581512
228,0.7794138410637704
