Function,N,T_interval,M2_total,M2_diagonal,M2_off_diagonal,M2_off_diagonal_pct,M4_total,M4_pure_diagonal,M4_mixed_diagonal,M4_off_diagonal,M4_pure_diagonal_pct,M4_mixed_diagonal_pct,M4_off_diagonal_pct
zeta,10000,"[10000, 20000]",82580.32229291476,94253.06001515807,-11672.737722243312,-14.135011099665823,5553441.290165689,770400.008803969,1434625.609039429,3348415.6723222905,13.872479577090907,25.833092205006935,60.29442821790215
L_DH,10000,"[10000, 20000]",94227.2052061217,94253.06001515807,-25.85480903638412,-0.02743879432678366,2955603.978623572,770400.008803969,1434625.609039429,750578.3607801734,26.065738657001848,48.53916896226185,25.395092380736294
liouville,10000,"[10000, 20000]",84864.75978043333,96382.61385121015,-11517.854070776808,-13.572010455902332,10548561.106635068,1234630.8180467929,2038549.470872092,7275380.817716182,11.70425810274927,19.325379549537235,68.97036234771349
