sigma,t,sigma_str,t_str,absL
0.6508300806097371,114.16334273075698,0.65083008060973708240376064248770173385590565643697,114.16334273075698090416436263335003109324532818212,8.093346990919595e-51
0.574356050450806,166.47930591316816,0.574356050450805990721482105321702458531689961875,166.47930591316815587647765105775848526822008024556,8.001541633286392e-50
0.8695305796406431,240.4046723514407,0.86953057964064307304044545781723627133901907911447,240.40467235144069377850259558397786291440359126228,1.130344514794631e-49
0.7682231236157215,331.0502594079496,0.76822312361572153154116786117289076672162938057927,331.05025940794964765131399510978453102005213244236,4.555892221665905e-49
0.6285081083258611,366.6409075762025,0.62850810832586113616173803625751758340828199074712,366.64090757620247769830395118294484299369150862762,1.5714686593279133e-49
0.7088822242512857,440.4845107397475,0.70888222425128571857416708910102368872930641695418,440.4845107397475415832949520807929048220861969509,4.193512125293877e-50
0.5159183143809815,520.9438010350892,0.5159183143809814043454710741076770364357513703712,520.94380103508924356103636406713065038714270709023,1.0187370995410945e-49
0.729533399980033,548.9067937777914,0.72953339998003299691466361257424494447121766831931,548.9067937777914811929270601787896155792125641914,9.165254233118666e-49
0.7865590820206163,566.5097129114972,0.78655908202061630438172853015826488618202999876756,566.50971291149716694714942939556290315847965778047,9.448289532695588e-49
0.5828556697506901,595.0233780278239,0.58285566975069014376773188384812920910382741330874,595.02337802782388641058981978303664412776665467483,6.5944527662770805e-49
0.6282519826945513,611.7750976387684,0.62825198269455128100581427316022511637135249551744,611.77509763876847486591535757804022286216856753582,4.335363285854407e-49
0.6107646088087089,646.9868231962462,0.61076460880870881065967292852761341510807500431056,646.98682319624614142407059966248726458248826884995,3.764011968206464e-49
0.7605971625533918,657.1083708211921,0.76059716255339186086200191437912194243311359348884,657.10837082119216467626996391414094164562831885032,5.475867668185813e-49
0.5619478966255498,847.4657315571004,0.56194789662554982912837394378855161341142820395482,847.4657315571004058855345598240166947776693249723,3.754117370353829e-49
0.6914048089837521,1012.0199814890879,0.69140480898375215547349582999770538358503837364208,1012.0199814890878926017644666198447132121854456287,1.1927760886294406e-48
0.5861373471409939,1029.00469235659,0.58613734714099387239268907676757523696767552668316,1029.0046923565901962678800502061122913507350346709,1.418499343458816e-49
0.6110654642977322,1078.4906942811594,0.61106546429773218656169147264571975588249313566546,1078.4906942811594545637408704885570123996826094522,2.805597198914967e-49
0.8546296189462752,1092.454497307247,0.85462961894627521596803861114343339436273020199134,1092.4544973072469834667766388941993198242145339942,8.467535734731467e-49
0.6057753068208851,1109.5485233905413,0.60577530682088512922533863187712783768448306867931,1109.5485233905412774740231602226311712404070329548,6.6063655183775286e-49
0.6565402211714655,1292.940386878534,0.65654022117146549575603615693982841818656716021217,1292.9403868785339605954723972763314753107074647588,7.588853463665877e-49
0.7515513282306117,1309.5986029417693,0.75155132823061162925911112253226704695371843971302,1309.5986029417693856474816461612910637185358883213,1.6628684339815952e-48
