Function,Mean M_coh,Std M_coh,Mean R_comp,Std R_comp
ζ,1.909304139201403,0.14420411841347192,0.009849617391072051,0.0039578195669865745
"L(s,χ₄) mod5",1.7270816947854966,0.22664542339520485,0.013198055913907993,0.00533444263087621
f_rand,1.9082653621244197,0.18804433523686948,0.032025504158682,0.007612446924146234
L_DH,1.994484270771951,0.18268279235797566,0.01854337144743961,0.002270691790468689
"L(s,χ_4) mod4",1.9071290293846515,0.17264937773306432,0.017212080204446454,0.005991277858207121
f_fully_rand,1.6288966551773763,0.16291797021471163,0.013172832136269956,0.0028677574319470795
