Function,N_peaks,Mean_M_coh,Std_M_coh,Mean_R_comp,Std_R_comp,Distance_to_ref_LDH
L_DH (reference),50,1.994484270771951,0.1826827923579756,0.0185433714474396,0.0022706917904686,0.0
L_DH^(ε=-0.10),50,1.31971313741127,0.18578296703391198,0.0087780578655108,0.0036708955863208417,0.6748417916565418
L_DH^(ε=-0.05),50,1.3198644985994958,0.18595530541550787,0.0087780578655108,0.003670895586320843,0.6746904463199169
L_DH^(ε=+0.00),50,1.3199999160214384,0.18613598030239048,0.0087780578655108,0.0036708955863208425,0.6745550430858617
L_DH^(ε=+0.05),50,1.326703075584375,0.18257633633652934,0.008697670286473924,0.003726976417818971,0.6678537732748828
L_DH^(ε=+0.10),50,1.326831406430897,0.18276488408527092,0.008697670286473924,0.0037269764178189707,0.6677254563772186
