family,AUC_in_sample_mean,AUC_in_sample_lo,AUC_in_sample_hi,AUC_holdout_mean,AUC_holdout_lo,AUC_holdout_hi
F4,0.995995275,0.993825,0.998165125,0.6517508125,0.603955625,0.69116625
F5p,0.9947880000000001,0.99147425,0.9978003750000001,0.6249560625,0.5798840624999999,0.6633462500000001
F5m,0.9967926750000001,0.994580875,0.9987398749999999,0.6651019375,0.6207778125,0.704489375
F12,0.9999907250000001,0.9999598749999999,1.0,0.8813096875,0.852205,0.9032559375
F14,0.9551784999999999,0.9370526250000001,0.9718357499999999,0.4978415,0.4555384375,0.545966875
