class,t,logS_0,logS_1,logS_2,logS_3,logS_4,logS_5,logS_6,logS_7
F1,77403.70000024521,0.0,0.72552833796866,1.0023596764437501,0.918206461472485,0.41557828556852294,0.0899522259044525,-0.5509252724692435,-2.398607206088335
F1,74956.00000023631,0.0,0.7058972368722595,1.0039655733943618,0.8884552114053583,0.4211173559074916,-0.030817986180413478,-0.7307211803491953,-2.3012976193662835
F1,94526.8000003075,0.0,0.7116940799874625,0.9732714225827721,0.8605597102840504,0.5444264751410129,0.0950905139149235,-0.7433758230673887,-2.5823217598941364
F1,97255.10000031744,0.0,0.6597176965394236,0.9382129094934005,0.7888576123901233,0.6099689185855189,0.3063552820141629,-0.4206555723073493,-2.379798774968845
F1,63751.90000019555,0.0,0.6886964783034292,0.9714462810861842,0.8915010786518142,0.42378571297333034,-0.32698244410240224,-1.3822333927892025,-3.044330738675291
F1,83431.90000026714,0.0,0.7114026248743445,0.9411412220385136,0.8799557502935371,0.42098144333868154,0.23603089013934436,-0.47004386403833176,-2.3377003645560803
F1,88607.90000028597,0.0,0.6811454808174664,0.9068627804465194,0.840069436817508,0.5807259409178118,0.11157596380619784,-0.8328616487938121,-2.576402665439516
F1,90048.80000029122,0.0,0.7133213019227169,0.9472799564356028,0.8054511913297827,0.43704348529239134,0.1136900001889962,-0.447428501479056,-2.303032229969829
F1,93874.70000030514,0.0,0.6307893911283182,0.8839159944897517,0.8182858899024121,0.5830070796517177,0.2774065042558694,-0.580958076943954,-2.664183797038196
F1,88081.60000028406,0.0,0.6357618286996054,0.9159691783840397,0.7884071756489803,0.5705529140592731,0.2920311571165401,-0.47983895159334583,-2.42346915035594
F1,98352.60000032144,0.0,0.6110928140012406,0.8209514559228246,0.7855104230311181,0.641599573014955,0.4164681073414893,-0.41688552775068133,-2.2768904440034636
F1,84129.80000026968,0.0,0.6391572079117055,0.8746748412514409,0.7812891824772934,0.4896930075186992,0.4162442902164514,-0.30786851425676115,-2.2403388085428424
F1,96557.4000003149,0.0,0.7056518105881132,0.9144987136065555,0.7557142829705576,0.4799195384854429,0.23412227474657865,-0.5531420423070856,-2.79455914202754
F1,99702.80000032632,0.0,0.6962990265663493,0.9013945586186372,0.733476994592671,0.5718779536289824,0.21184146757682618,-0.717003743607121,-2.4381132346607113
F1,68229.90000021184,0.0,0.6523570327172533,0.8479458970081339,0.8544531199425176,0.5642399146051461,0.2648368963999647,-0.5063422759104711,-2.318530306364454
F1,55104.60000016409,0.0,0.6968973141155012,0.9605863365907921,0.8155479792877216,0.36239583330362823,0.031196638333078758,-0.9418053500080862,-2.437900976983811
F1,96185.80000031354,0.0,0.701174691428662,0.9212840055492539,0.7736553155199608,0.5140565756288364,-0.10369045438728085,-0.9883838361932934,-2.7752006993833613
F1,81881.70000026151,0.0,0.7041976772081542,0.93270094324682,0.7951664244676409,0.45089921363441915,-0.06451360467421235,-1.2641354600803445,-2.3407196286292984
F1,96974.4000003164,0.0,0.6900311029165984,0.889137865305734,0.7694981293606428,0.5297523033758265,0.11574332441052641,-0.897478126599308,-2.8854777904690847
F1,63099.70000019317,0.0,0.669132532015968,0.9318814224933082,0.756386578104961,0.47775447194152776,0.0013107777387444278,-1.1008701291610956,-2.5058489628205076
F1,85633.90000027516,0.0,0.5734860094193407,0.8057206852303928,0.8197455584113098,0.5513793977827465,0.3789824844432564,-0.34652583036530354,-2.097744798185314
F1,93085.90000030228,0.0,0.6407381302488004,0.8586833452131126,0.8489626565779996,0.6247422632750068,0.20465282581888541,-0.730812674566517,-3.151033539519736
