sigma,lambda_min_X1e5,trace_residual_X1e5,tr_Mz,lambda_min_X_big,trace_residual_X_big,X_big
0.25,-4.693560966699726,-0.05053092727533226,25.17699418974737,-3.8910174589730877,0.1642328495092471,100000000.0
0.5,-1.4074410234608308,-0.20948913935326985,21.6293520102666,-1.0914216845699887,-0.04882662779503377,100000000.0
1.0,-0.008371701481176294,0.009464871137637942,21.781061539798486,-3.07893988696711e-11,2.5899282718455652e-11,100000000.0
2.0,-1.0781972392329284e-11,2.079048044834053e-11,21.602596413459217,-1.0781972392329284e-11,2.079048044834053e-11,100000.0
4.0,-4.8976797527105695e-12,-1.9753088054130785e-12,21.43008681387132,-4.8976797527105695e-12,-1.9753088054130785e-12,100000.0
