Function,Perturbation,ξ,Δξ_from_baseline,CS_N1,CS_N2,CG,ΔCG_from_baseline
Zeta,Baseline,-0.2052080349073931,0.0,-0.04536130310694523,-0.06814715687771265,-0.022785853770767424,0.0
F_k2,ω(n)=2 flipped,-0.1103786919371455,0.09482934297024759,0.021117022723434683,0.025274823504270783,0.0041578007808361,0.026943654551603524
F_k3,ω(n)=3 flipped,-0.03144440930560003,0.17376362560179306,0.014858620954864656,0.02123547228433202,0.006376851329467366,0.02916270510023479
