Function,ξ (shape),95% CI for ξ,μ (location),σ (scale),Contains ξ=0?,Distribution type
ζ,-0.136484,"[-0.2635, 0.0153]",10.439755,1.732331,Yes,Weibull (ξ<0)
f_rand,0.208661,"[0.0274, 0.3559]",13.838036,4.929173,No,Fréchet (ξ>0)
