t,R_comp,D_magnitude
80.0,0.09377251368590622,1.3226473796214204
80.001,0.09378210544495182,1.319238613310085
80.00200000000001,0.0937804034052322,1.3158197090366892
80.00300000000001,0.09375607557821387,1.3123908176630197
80.00400000000002,0.09379600841259242,1.3089520902661413
80.00500000000002,0.0938284278105965,1.3055036781203757
80.00600000000003,0.09381555832522653,1.302045732678845
80.00700000000003,0.09385184169204684,1.298578405556152
80.00800000000004,0.09379750631441866,1.2951018485094328
80.00900000000004,0.09384521246178894,1.2916162134201536
80.01000000000005,0.09379852395418163,1.288121652275697
80.01100000000005,0.09388409985134236,1.284618317150329
80.01200000000006,0.09392816973559351,1.281106360186238
80.01300000000006,0.09390806860575948,1.2775859335748945
80.01400000000007,0.09393712645952558,1.2740571895377442
80.01500000000007,0.09392468080097639,1.2705202803067248
80.01600000000008,0.09392361941387754,1.2669753581050303
80.01700000000008,0.09393016549017764,1.2634225751269281
80.01800000000009,0.09396320806536515,1.2598620835189405
80.01900000000009,0.0939736386084506,1.2562940353593512
80.0200000000001,0.09399923434851543,1.2527185826380063
80.0210000000001,0.09402110786966066,1.2491358772363694
80.0220000000001,0.09398259528387193,1.2455460709073105
80.02300000000011,0.09400458200291281,1.2419493152543903
80.02400000000011,0.09403418178378485,1.238345761711198
80.02500000000012,0.09404872951334836,1.2347355615208566
80.02600000000012,0.09408978006610137,1.2311188657147683
80.02700000000013,0.09408555888373864,1.2274958250919004
80.02800000000013,0.09410784201567415,1.2238665901971977
80.02900000000014,0.09412263135874177,1.2202313113005987
80.03000000000014,0.09411103937866633,1.2165901383754938
80.03100000000015,0.0941486197978446,1.2129432210767952
80.03200000000015,0.09417115326526151,1.2092907087196696
80.03300000000016,0.09417864046773804,1.20563275025751
80.03400000000016,0.09419374800154567,1.201969494259304
80.03500000000017,0.09415981174030118,1.1983010888886543
80.03600000000017,0.09420905022848525,1.1946276818804578
80.03700000000018,0.09421302389427866,1.1909494205189959
80.03800000000018,0.09422084288474017,1.1872664516154239
80.03900000000019,0.09420984190111069,1.1835789214849157
80.04000000000019,0.09424801938318428,1.1798869759237238
80.0410000000002,0.09430515471123056,1.176190760186722
80.0420000000002,0.09427925173460118,1.1724904189642664
80.0430000000002,0.0943063067178942,1.16878609635854
80.04400000000021,0.09429187879269398,1.165077935860835
80.04500000000021,0.09433041000542744,1.161366080328427
80.04600000000022,0.09433123709861527,1.1576506719599164
80.04700000000022,0.09436235850081774,1.1539318522729243
80.04800000000023,0.09435199920367729,1.1502097620797496
80.04900000000023,0.09434171399941042,1.146484541463555
80.05000000000024,0.09433905873173014,1.142756329754673
80.05100000000024,0.09434781157419528,1.1390252655066828
80.05200000000025,0.09437552835369228,1.1352914864713632
80.05300000000025,0.0943730999366374,1.1315551295762498
80.05400000000026,0.09435563744185817,1.1278163308988791
