N,M,t_peak,M_fit,alpha,C,alpha_theory
10000,4.153125177378411,84.0931290615255,4.163993742990471,0.0033643763069771144,4.036942494596606,0.3085
100000,4.218368727269872,84.19999999999999,4.196376483289597,0.0033643763069771144,4.036942494596606,0.3085
1000000,4.217972789920982,84.2,4.229011059190312,0.0033643763069771144,4.036942494596606,0.3085
