Function,N,n_peaks,mean_r_canonical,std_r_canonical,mean_r_original_file,std_r_original_file
Zeta,10^7,5,1.83742019959369,1.8979685130750092,0.6888526603396711,0.5374530478289646
Liouville,10^7,5,3.681640444762652,1.5680525177675517,1.0797191034212699,0.9098600854951897
