N,Zeta_mean_r,Zeta_std_r,Liouville_mean_r,Liouville_std_r,n_peaks
10^4,0.8895682391167109,0.46019094954784073,0.7901858085725715,0.4933776944172479,50
10^5,0.7557564907348306,0.6069149789834183,0.7895509830025147,0.4797419055135646,10
10^6,0.95320825700163,0.4706154209560607,0.36623330919496994,0.504697685348082,5
10^7,0.6888526603396711,0.4807126198640043,1.0797191034212699,0.8138036004724059,5
