Term Type,Δ(10⁴→10⁵),Δ(10⁵→10⁶),Pattern
All Equal,+0.89%,-1.12%,Non-monotonic
Three Equal,-0.73%,-0.68%,Monotonic
Two Pairs Equal,+3.56%,-0.91%,Non-monotonic
One Pair Equal,-1.53%,+2.61%,Non-monotonic
All Distinct,+4.39%,-5.87%,Non-monotonic
