t,M,R_comp
1000.0,1.3156994634923882,0.0011801248598075507
1001.001001001001,0.25012141989855574,0.00042114037740894554
1002.002002002002,0.17937435410609023,0.0006509926321371217
1003.003003003003,1.8261588443182561,0.000857530367260323
1004.0040040040041,0.27237962944086747,0.0010574131937056291
1005.005005005005,0.5792056034460815,0.0011303634207689487
1006.006006006006,0.1178238700622974,0.0011139520329424665
1007.007007007007,0.14013710039166327,0.0013308838182992885
1008.008008008008,0.8480334124819597,0.0011257220345860233
1009.009009009009,1.7722255812657663,0.0013688321923221174
1010.01001001001,1.7436110971634782,0.0010269799924975955
1011.011011011011,0.15793885392365647,0.001069915689368779
1012.0120120120121,0.13609004028538074,0.0010371053292164156
1013.013013013013,1.6815229349496064,0.0012001747864900049
1014.014014014014,0.37077680376847866,0.0008973075453517906
1015.015015015015,0.5628476548279386,0.0011824371035798187
1016.016016016016,1.243735410774278,0.0010142092120910572
1017.017017017017,1.0519839258344645,0.0011933992745358844
1018.018018018018,0.7469377402396036,0.000939383979980533
1019.019019019019,0.6633169241926768,0.0008953424800552785
1020.0200200200201,1.7868055088303856,0.0005938365454247978
1021.021021021021,1.831854179472014,0.000747603657834131
1022.022022022022,0.43933228286231774,0.0010303807593478149
1023.023023023023,0.8134227255070089,0.0011528972777171288
1024.0240240240241,0.30083213464067043,0.0010119791729460543
1025.0250250250251,0.4394067461594805,0.001489253941329059
1026.026026026026,0.30567804601052573,0.0012754877235614122
1027.027027027027,0.4367014391751347,0.0009606448776149982
1028.028028028028,1.9611226620225046,0.0008281277477521793
1029.029029029029,1.7066820348442198,0.0007464987323283661
1030.03003003003,0.17820389552879765,0.0008351603601254673
1031.031031031031,1.6191090629437124,0.0003948822375557923
1032.032032032032,1.24307379661023,0.0006153749857535753
1033.033033033033,0.4949714212046496,0.0009103670232279023
1034.034034034034,0.10707710583016017,0.0006060385372063182
1035.035035035035,0.2753946002528348,0.0014961985323180724
1036.036036036036,0.6037057534523251,0.0016942566212705234
1037.037037037037,1.9343098499832376,0.0014207015316706432
1038.038038038038,1.7814228172344575,0.0010625751004054794
1039.039039039039,1.853655417496102,0.0005535184626424431
1040.0400400400401,1.458300297336655,0.0013058368941223431
1041.0410410410411,0.17763804115729223,0.0009511089932160774
1042.042042042042,0.14895903886767495,0.001225629727690876
1043.043043043043,0.3424125808393367,0.0008364248912329423
1044.044044044044,0.577543336137498,0.0005335451184306578
1045.045045045045,1.8332937652852164,0.0007606075643265343
1046.046046046046,0.790761536580026,0.0012609572911817413
1047.047047047047,1.2618408541720738,0.001344986840012122
1048.048048048048,1.8552887381126355,0.001276241269189662
1049.049049049049,1.4910566117482977,0.0008886032993032066
1050.05005005005,0.9846523285092283,0.0002914092831726822
1051.051051051051,0.09296342346992839,0.0010433627353780169
1052.052052052052,0.3824936412431866,0.00089791865991107
1053.053053053053,0.1931633291735122,0.0005288065638922027
1054.054054054054,0.5680285364441049,0.0010769271199882724
1055.0550550550552,2.0857101621900256,0.0009466906032277287
1056.0560560560561,1.2314502871547646,0.0011157381529585987
1057.0570570570571,1.3758210380087756,0.0010717540473152763
1058.0580580580581,0.31199524439717474,0.0008233984057750275
1059.059059059059,1.4820561115740978,0.0005036715606638813
1060.06006006006,1.2853690308706056,0.0009515815509623607
1061.061061061061,0.42883654629555984,0.0009592436280643375
1062.062062062062,0.07406781952663324,0.0011367185034281949
1063.063063063063,1.6689921097218814,0.0010742898263481468
1064.064064064064,1.5207668794099103,0.0005226177674389769
1065.065065065065,1.8721481942316855,0.0008052565130219245
1066.066066066066,0.28942906388671863,0.0008600568862125926
1067.067067067067,0.5551141517543088,0.0011443434558231014
1068.068068068068,0.7179724005093976,0.0012573372061379438
1069.069069069069,0.32203637275943775,0.0011983405306016258
1070.07007007007,0.3693698175261557,0.0010497808552431351
1071.0710710710712,0.8017571041670549,0.0011882460687828913
1072.0720720720722,0.9692653618168016,0.0013737444722017875
1073.0730730730731,1.4623307430814005,0.001181719564069836
1074.0740740740741,1.0422219146712295,0.0007533787532161645
1075.0750750750751,0.46946167013795204,0.0010873692944084962
1076.076076076076,1.4550952899912541,0.00071788878424491
1077.077077077077,0.9064774802725784,0.0009161885930073212
1078.078078078078,0.17589373207776077,0.00098629931501244
1079.079079079079,0.21641977034584084,0.000940831718307192
1080.08008008008,0.37155255262900594,0.0011048738456284255
1081.081081081081,0.993256036375174,0.0011976841923573784
1082.082082082082,0.3994074980947939,0.0007921078135130733
1083.083083083083,1.8642765104107712,0.0009249024163951904
1084.084084084084,1.391566836010664,0.0009349672448812696
1085.0850850850852,0.6588486331376031,0.001159858573880575
1086.0860860860862,0.32499800925609174,0.0011792567766922976
1087.0870870870872,0.7489918545977966,0.001115311964734434
1088.0880880880882,0.20549259618008098,0.0010338446378965504
1089.0890890890892,0.14258683103979072,0.0013589614492716285
1090.0900900900901,0.6322046084010932,0.0014993570643547472
1091.0910910910911,1.6754368941552025,0.0008887843361793809
1092.0920920920921,0.3283578779448214,0.0007981271555263126
1093.093093093093,0.392585311833625,0.0010540091947698607
1094.094094094094,1.9703378689744835,0.0011773029892062422
1095.095095095095,0.36039607563072784,0.0011417229529316134
1096.096096096096,0.47690755487614994,0.0005681449148654569
1097.097097097097,0.1234361583271129,0.0006989062330752537
1098.098098098098,0.13013750839902213,0.0005345683654629301
1099.099099099099,1.8143803321406224,0.0012653581064695771
1100.1001001001,0.8643933173397483,0.0007876401282110424
1101.101101101101,0.2542929650025596,0.001057557947327995
1102.1021021021022,1.3869459657424577,0.0009303458641532042
1103.1031031031032,0.8206638248068238,0.0008871664799603564
1104.1041041041042,0.024493092108580448,0.0006400804753530166
1105.1051051051052,0.08827492737836125,0.0006087418148969457
1106.1061061061062,0.4791790109650758,0.0012558163651918738
1107.1071071071071,0.17871752732905544,0.0008213432778907955
1108.1081081081081,0.04442902977134641,0.0004167205516796871
1109.109109109109,1.346415382518882,0.0005294638646182575
1110.11011011011,0.17931660964354432,0.0007316111282610311
1111.111111111111,0.24269831857125196,0.0005581656823595522
1112.112112112112,0.3876356729390827,0.0009460706776536278
1113.113113113113,0.38662715016146687,0.00120826806811798
1114.114114114114,0.18908206057326948,0.0011050548892304712
1115.115115115115,0.7576262500900838,0.0006639502818642715
1116.1161161161162,0.1693708468447314,0.0010361835338324025
1117.1171171171172,0.5908432504349881,0.0007428579650490073
1118.1181181181182,1.936368106759181,0.0011312251643284703
1119.1191191191192,0.9167443470821597,0.0010281843120563748
1120.1201201201202,0.5164999350662468,0.0008997167290406871
1121.1211211211212,1.4751812208443398,0.0012627505091085424
1122.1221221221222,0.2598110055583248,0.0010702346597827304
1123.1231231231232,1.1688986757965503,0.001111688830307543
1124.1241241241241,0.04431602122271597,0.0010781106480794486
1125.1251251251251,0.6297777129603332,0.0018549893557825233
1126.126126126126,0.2652957609766846,0.0013632462024049173
1127.127127127127,0.2770562856382202,0.0013764673593452876
1128.128128128128,0.9468528508274876,0.0007472177281122519
1129.129129129129,1.2318107602504906,0.0008536631281643487
1130.13013013013,1.4761571756146596,0.001168636302323199
1131.131131131131,0.1913156667944129,0.0008104926738103311
1132.132132132132,0.02686126990500301,0.0006384810206923341
1133.1331331331332,0.17431815209594603,0.0008048961579416355
1134.1341341341342,0.052280784207089585,0.0009560284580870711
1135.1351351351352,1.8297859785850283,0.0006128895345542834
1136.1361361361362,0.8120153563169247,0.0008164631053964292
1137.1371371371372,1.4178256723113207,0.0010979801943813779
1138.1381381381382,1.272832710798362,0.000965219298504014
1139.1391391391392,0.7409398753964258,0.0010772161376675562
1140.1401401401401,0.6918919306005921,0.0010759119052803918
1141.1411411411411,1.5447183755979412,0.0011805767888045482
1142.1421421421421,0.277072411758095,0.0006762790611365312
1143.143143143143,0.12974942327981592,0.0007438675639125896
1144.144144144144,0.10921428272075286,0.0006309772270369173
1145.145145145145,0.01342657547476694,0.0008189462527689953
1146.146146146146,0.7024952742563417,0.0007626434959608496
1147.1471471471473,0.8585907383116413,0.001063427791251663
1148.1481481481483,0.6396063142586476,0.0009834636354045623
1149.1491491491493,0.3091802025725584,0.0007564078747400376
1150.1501501501502,0.6689403436027351,0.0004293283442599273
1151.1511511511512,0.14950644128963747,0.0010856620407982127
1152.1521521521522,0.07169328086291157,0.0010855367908003248
1153.1531531531532,1.6496208053733916,0.001159062314156546
1154.1541541541542,1.680179076468089,0.001080931012459123
1155.1551551551552,0.4422120089460638,0.0010122230249331534
1156.1561561561562,0.01965677198804262,0.0010046445937096434
1157.1571571571571,1.4479840977930765,0.0010077243736939458
1158.1581581581581,0.7600675334808901,0.0015058746906557127
1159.1591591591591,0.16505828258287614,0.0012671109778159403
1160.16016016016,0.09630886098846413,0.0008924456888093198
1161.161161161161,0.3749015495070785,0.000702956770941293
1162.162162162162,0.37245739312246195,0.0005516552683002895
1163.163163163163,0.5926045893578578,0.000681149936926964
1164.1641641641643,1.58464454133205,0.0007551978457675866
1165.1651651651653,1.4971340728052176,0.0013090856934832615
1166.1661661661662,0.4256015811529986,0.0009346730555204668
1167.1671671671672,0.8756158003650291,0.0009787327801707801
1168.1681681681682,1.4273001481539775,0.0007852239508201011
1169.1691691691692,0.1601730972256181,0.0008657067355226416
1170.1701701701702,0.9241210430230754,0.0010974925893257495
1171.1711711711712,0.1142842736488876,0.0006310416697946331
1172.1721721721722,1.1719816923902353,0.0009035795470496256
1173.1731731731732,1.2528173324407663,0.0004764099531214857
1174.1741741741741,1.8591982291658697,0.000843070517993356
1175.1751751751751,1.4903708632298596,0.0012613730951255549
1176.176176176176,0.6252482767722849,0.0015013115897943013
1177.177177177177,0.7497235968863283,0.0015333338235166453
1178.1781781781783,0.3307540259566068,0.0010376403397052369
1179.1791791791793,0.3575276988843802,0.000913773734685231
1180.1801801801803,0.6851467644884474,0.001250777792012248
1181.1811811811813,1.8903968126386983,0.0016343674267788792
1182.1821821821823,0.9256345506986153,0.0012798877498399436
1183.1831831831832,1.3725934741749883,0.0010451396707298515
1184.1841841841842,0.34141214932027236,0.0007138581721799088
1185.1851851851852,1.9461662430653588,0.0009873244927359102
1186.1861861861862,0.21405658754897303,0.0010927983213174736
1187.1871871871872,1.0760816876637311,0.000679491086036089
1188.1881881881882,0.10344086104758021,0.0009077057316640669
1189.1891891891892,0.36013912624496147,0.0009724977385141475
1190.1901901901902,0.8100811817393595,0.0008773645993149732
1191.1911911911911,0.33571564062568676,0.0006381725986175981
1192.1921921921921,1.9306342637652072,0.0009095993284412703
1193.193193193193,1.9364269448208962,0.000511112463516826
1194.194194194194,0.17342982917719188,0.0013101291618082544
1195.1951951951953,0.15858912315253243,0.0006345211395661849
1196.1961961961963,1.1705320544192348,0.0009934002117460974
1197.1971971971973,1.0182396144944192,0.0013500863491466666
