Function_ID,Function_Name,RH_Status,CS_N,CG_N,Sum_Offdiag_N1,Sum_Offdiag_N2,N_Negative_N1,N_Negative_N2,Sum_Negative_N1,Sum_Negative_N2,Distance_to_RH_centroid,Function,Mean,Variance,Skewness,Excess_Kurtosis,xi_shape,xi_SE,xi_CI_lower,xi_CI_upper
F1,Riemann ζ,True,-2.1458677189960254,-48.16602445471902,-1.3821717757327696,-2.0479089712384395,22,20,-1.40879715599501,-2.1458677189960254,0.7708537961982198,F1: Riemann ζ,0.0248127932782018,1.6121504952971744,-0.6807833493104485,0.7575915218618503,-0.3729650025551217,0.0242757289012192,-0.4205454312015115,-0.325384573908732
F2,L(χ₄) real mod 5,True,-0.9118600851356856,-141.0929425970757,-0.3732896595222658,-0.8999750245528356,16,24,-0.375498391431678,-0.9118600851356856,0.7829484559764628,F2: L(χ₄) real mod 5,0.0076613522730287,1.6655772111342269,-0.8294729242923866,1.6207885889993676,-0.3199973838025969,0.0283418328252824,-0.3755473761401506,-0.2644473914650432
F3,L(χ) complex mod 5,True,-1.392495138986191,-73.48715329565087,-0.7981414611068477,-1.3846729001465845,18,28,-0.800254849360543,-1.392495138986191,0.1677249763423673,F3: L(χ) complex mod 5,0.0022370917447628,1.6898928569355425,-0.8148971699208453,1.2895718574056731,-0.2672772941672778,0.0343772313842634,-0.334656667680434,-0.1998979206541215
F4,Random multiplicative,,-0.6983077467472828,-28.87490608571912,-0.4435534925332561,-0.571629146942161,16,16,-0.4789857087220218,-0.6983077467472828,0.9803237287182756,F4: Random multiplicative,0.3000007941400705,0.917200944887526,-0.0284133857645183,0.3516579416812493,-0.2239107338401373,0.0325169156644415,-0.2876438885424427,-0.1601775791378318
F5,Davenport-Heilbronn,False,-1.01562485041494,-58.84845083702745,-0.6155367188255675,-0.9777705421874836,20,20,-0.6227604866679921,-1.01562485041494,0.5489832973102418,F5: Davenport-Heilbronn,0.5385036036508133,0.7215759409021211,-0.4891094652814068,0.724586627506631,-0.3148933776523105,0.0307258528074538,-0.3751160491549201,-0.2546707061497009
F6,"Liouville L(s,λ)",,-1.2011931418349768,-1.54307189066438,-1.0894829478023924,-1.1062944529235128,20,16,-1.1138697661124646,-1.2011931418349768,0.9054918181015548,"F6: Liouville L(s,λ)",0.2984721715525994,0.952969550657988,-0.0831029609788888,0.2952206620749922,-0.1846820022246372,0.0347349157341618,-0.2527624370635944,-0.11660156738568
F7,"Möbius L(s,μ)",,-0.4808078172683339,251.76568673814825,-0.0852325393969046,0.129353748740075,14,10,-0.3282415841066144,-0.4808078172683339,3.538487585408318,"F7: Möbius L(s,μ)",0.2759542574862486,0.932474882522626,-0.3855939856773414,0.1926943334038116,-0.2430246501667231,0.0279508485624156,-0.2978083133490577,-0.1882409869843885
F8,Fully random,,-0.2844765528203642,-119.68979246238976,-0.0257507572299696,-0.0565717851160141,14,18,-0.1475415247662606,-0.2844765528203642,1.241179498041475,F8: Fully random,0.9601805652968658,0.4076493553939525,-1.146475428225092,2.419105460658405,-1.3698020562466688,0.0307258528074538,-1.3698020562466688,-1.3698020562466688
