Function,N,t_range,n_peaks,mean_r,std_r,median_r,min_r,max_r,mean_peak_height
zeta,1000000,"[1e+06, 2e+06]",50,2.4572930098634216,1.4552380164236343,2.165146105606417,-0.619177369681685,5.753077763215068,10.32773590408075
f_rand,1000000,"[1e+06, 2e+06]",50,2.769409501033737,1.930050406084319,2.2508995141907784,-0.6548574565172647,6.737467101004706,11.526648282530418
L_mobius,1000000,"[1e+06, 2e+06]",50,1.6533112062974047,0.8295098065689884,1.7387528439401487,-0.1823175172785337,3.123897104798804,9.317235175911
