t_zeta,R_comp_zeta,t_frand,R_comp_frand
1548.9999999999955,0.0005215493151641338,1960.8999999999955,0.003705047564298911
1549.0099999999954,0.0005087882444412701,1960.9099999999955,0.003723220423957441
1549.0199999999954,0.0004957609537890105,1960.9199999999955,0.003741204904612895
1549.0299999999954,0.00048248446202562293,1960.9299999999955,0.0037590197619151106
1549.0399999999954,0.0004689774517346525,1960.9399999999955,0.0037766837056898857
1549.0499999999954,0.00045526041689203275,1960.9499999999955,0.003794215294065463
1549.0599999999954,0.00044135583508524644,1960.9599999999955,0.0038116328355055225
1549.0699999999954,0.0004272883700575284,1960.9699999999955,0.003828954299845593
1549.0799999999954,0.00041308511134259264,1960.9799999999955,0.0038461972392043564
1549.0899999999954,0.00039877585919637575,1960.9899999999955,0.003863378719632332
1549.0999999999954,0.0003843934645075612,1960.9999999999955,0.0038805152641368133
1549.1099999999954,0.00036997423483776606,1961.0099999999954,0.00389762280760248
1549.1199999999953,0.00035555841919595406,1961.0199999999954,0.003914716663968084
1549.1299999999953,0.0003411907850285017,1961.0299999999954,0.003931811505845048
1549.1399999999953,0.00032692130071920776,1961.0399999999954,0.0039489213565605035
1549.1499999999953,0.0003128059344315474,1961.0499999999954,0.003966059594446441
1549.1599999999953,0.0002989075738957785,1961.0599999999954,0.00398323896903433
1549.1699999999953,0.0002852970585486231,1961.0699999999954,0.004000471628560765
1549.1799999999953,0.0002720542917810811,1961.0799999999954,0.004017769158075087
1549.1899999999953,0.0002592693607473674,1961.0899999999954,0.004035142627264748
1549.1999999999953,0.0002470435280323519,1961.0999999999954,0.004052602646902792
1549.2099999999953,0.00023548986730963106,1961.1099999999954,0.004070159432715457
1549.2199999999953,0.00022473319334610133,1961.1199999999953,0.004087822875348549
1549.2299999999952,0.000214908800168966,1961.1299999999953,0.004105602614930624
1549.2399999999952,0.00020615941233332406,1961.1399999999953,0.004123508118699134
1549.2499999999952,0.00019862975906468654,1961.1499999999953,0.004141548760048562
1549.2599999999952,0.00019245842224704474,1961.1599999999953,0.004159733897300097
1549.2699999999952,0.0001877671971475444,1961.1699999999953,0.0041780729504651585
1549.2799999999952,0.00018464912305090318,1961.1799999999953,0.004196575474281558
1549.2899999999952,0.000183157316747638,1961.1899999999953,0.0042152512257742185
1549.2999999999952,0.0001832972502297514,1961.1999999999953,0.004234110224725296
1549.3099999999952,0.00018502465475741246,1961.2099999999953,0.004253162805323547
1549.3199999999952,0.00018824977401249722,1961.2199999999953,0.004272419657560047
1549.3299999999952,0.0001928468517825002,1961.2299999999952,0.004291891856950472
