Function,peak_t_star,D_magnitude_at_peak,max_R_comp,t_at_max_R_comp,rayleigh_p_value,significant_at_0.05,R_comp_mean,R_comp_std,expected_random_R,ratio_to_random
zeta,1549.9999999999955,11.607848057144839,0.0007289612156395893,1550.4099999999942,0.7547799350620231,False,0.0004658478207285392,0.00019411903761682147,0.0017224907388610174,0.4232018200118793
frand,1961.8999999999955,37.31082919528247,0.005889424140462624,1961.9099999999946,1.0590132476281858e-08,True,0.004504029951587569,0.0009516780359385678,0.0017224907388610174,3.419132543120061
