t,D_magnitude,R_comp
80.5,1.2335887037005384,0.0012491455755682522
80.501,1.2428413152788995,0.0012513672183554457
80.50200000000001,1.2521055082526713,0.0012536515950915868
80.50300000000001,1.2613810705824064,0.0012559986463518212
80.50400000000002,1.270667789240726,0.0012584082981604674
80.50500000000002,1.2799654502226825,0.001260880462127015
80.50600000000003,1.2892738385569948,0.001263415035591608
80.50700000000003,1.2985927383167661,0.0012660119017797334
80.50800000000004,1.3079219326303833,0.001268670929965815
80.50900000000004,1.3172612036925397,0.0012713919756465757
80.51000000000005,1.326610332774936,0.0012741748807216565
80.51100000000005,1.3359691002376712,0.0012770194736822233
80.51200000000006,1.3453372855396557,0.0012799255698080145
80.51300000000006,1.3547146672503039,0.0012828929713713283
80.51400000000007,1.3641010230600876,0.001285921467847202
80.51500000000007,1.3734961297916033,0.0012890108361313505
80.51600000000008,1.3828997634112536,0.0012921608407627915
80.51700000000008,1.3923116990395608,0.0012953712341540013
80.51800000000009,1.4017317109627394,0.001298641756823851
80.51900000000009,1.411159572643727,0.0013019721376390995
80.5200000000001,1.420595056733634,0.0013053620940553508
80.5210000000001,1.4300379350821875,0.0013088113323683052
80.5220000000001,1.439487978749988,0.0013123195479628588
80.52300000000011,1.4489449580187432,0.001315886425569912
80.52400000000011,1.458408642403294,0.0013195116395230387
80.52500000000012,1.46787880066202,0.0013231948540208913
80.52600000000012,1.4773552008091104,0.0013269357233887664
80.52700000000013,1.4868376101251564,0.0013307338923433953
80.52800000000013,1.496325795168373,0.0013345889962602154
80.52900000000014,1.5058195217866226,0.0013385006614394885
80.53000000000014,1.515318555127942,0.0013424685053748443
80.53100000000015,1.5248226596524344,0.001346492137022126
80.53200000000015,1.5343315991432995,0.0013505711570678358
80.53300000000016,1.5438451367183919,0.0013547051581975695
80.53400000000016,1.5533630348416847,0.0013588937253642265
80.53500000000017,1.562885055334048,0.0013631364360547494
80.53600000000017,1.572410959385651,0.0013674328605566967
80.53700000000018,1.5819405075666224,0.0013717825622219736
80.53800000000018,1.5914734598386278,0.0013761850977311704
80.53900000000019,1.6010095755663794,0.0013806400173540488
80.54000000000019,1.6105486135291278,0.0013851468652084924
80.5410000000002,1.6200903319320255,0.0013897051795171305
80.5420000000002,1.6296344884175298,0.001394314492862014
80.5430000000002,1.63918084007714,0.001398974332435392
80.54400000000021,1.648729143462528,0.0014036842202879778
80.54500000000021,1.6582791545973588,0.001408443673574869
80.54600000000022,1.6678306289882523,0.0014132522047969058
80.54700000000022,1.677383321636916,0.0014181093220388668
80.54800000000023,1.6869369870514868,0.0014230145292049635
80.54900000000023,1.6964913792574712,0.001427967326249384
80.55000000000024,1.7060462518100463,0.0014329672094033307
80.55100000000024,1.7156013578052043,0.0014380136713989995
80.55200000000025,1.7251564498911958,0.0014431062016874766
80.55300000000025,1.734711280280257,0.001448244286654686
80.55400000000026,1.74426560076003,0.0014534274098312989
80.55500000000026,1.7538191627051036,0.00145865505209931
