Function_ID,Function_Name,RH_Status,CS_N,CG_N,Sum_Offdiag_N1,Sum_Offdiag_N2,N_Negative_N1,N_Negative_N2,Sum_Negative_N1,Sum_Negative_N2,Distance_to_RH_centroid
F1,Riemann ζ,True,-2.1458677189960254,-48.16602445471902,-1.3821717757327696,-2.0479089712384395,22,20,-1.4087971559950099,-2.1458677189960254,0.7708537961982198
F2,L(χ₄) real mod 5,True,-0.9118600851356857,-141.0929425970757,-0.3732896595222658,-0.8999750245528356,16,24,-0.37549839143167807,-0.9118600851356857,0.7829484559764628
F3,L(χ) complex mod 5,True,-1.392495138986191,-73.48715329565087,-0.7981414611068477,-1.3846729001465845,18,28,-0.800254849360543,-1.392495138986191,0.16772497634236735
F4,Random multiplicative,,-0.6983077467472828,-28.87490608571912,-0.44355349253325616,-0.571629146942161,16,16,-0.47898570872202184,-0.6983077467472828,0.9803237287182756
F5,Davenport-Heilbronn,False,-1.0156248504149399,-58.84845083702745,-0.6155367188255675,-0.9777705421874835,20,20,-0.6227604866679921,-1.0156248504149399,0.5489832973102418
F6,"Liouville L(s,λ)",,-1.2011931418349768,-1.5430718906643799,-1.0894829478023924,-1.1062944529235128,20,16,-1.1138697661124646,-1.2011931418349768,0.9054918181015547
F7,"Möbius L(s,μ)",,-0.48080781726833394,251.76568673814822,-0.08523253939690463,0.12935374874007502,14,10,-0.32824158410661447,-0.48080781726833394,3.538487585408318
F8,Fully random,,-0.2844765528203642,-119.68979246238975,-0.02575075722996966,-0.05657178511601417,14,18,-0.14754152476626067,-0.2844765528203642,1.241179498041475
