Function,N1,N2,Sum_Offdiag_N1,Sum_Offdiag_N2,CS_N1,CS_N2,CG_N_1e6_to_2e6,CG_N_1e5_to_1e6_r72
Riemann ζ(s),1000000,2000000,-1.8840922750819737,-2.083011882774256,-1.9871924100020184,-2.1929749925226405,-10.557848483489348,-48.16602445471902
Historical L_DH(s),1000000,2000000,-0.8664117965635875,-0.7969646053939887,-0.9586901689130388,-0.9962907078836285,8.015494646430739,-58.84845083702745
"Liouville L(s,λ)",1000000,2000000,-0.866390113956495,-0.7969646053939887,-0.95872526572469,-0.9962907078836285,8.013192607365372,-1.54307189066438
